,StID,SAT,GPA
0,101,1355,3.42
1,102,1391,3.48
2,103,1170,2.91
3,104,1357,3.41
4,105,1326,3.28
5,106,1361,3.58
6,107,1520,3.28
7,108,1275,3.07
8,109,1434,3.28
9,110,1487,3.73
10,111,1292,3.01
11,112,1321,3.28
12,113,1302,3.41
13,114,1273,3.12
14,115,1275,3.29
15,116,1490,3.39
16,117,1474,3.24
17,118,1230,3.47
18,119,1434,3.54
19,121,1350,3.01
20,122,1187,3.21
21,123,1350,3.52
22,124,1349,3.31
23,125,1454,3.34
24,127,1393,3.5
25,130,1185,2.74
26,131,1235,3.08
27,132,1520,3.65
28,133,1407,3.42
29,134,1475,3.6
30,135,1436,3.71
31,139,1286,3.19
32,140,1464,3.49
33,141,1310,3.71
34,142,1453,3.47
35,143,1521,3.61
37,145,1261,3.19
38,146,1425,3.4
39,147,1515,3.62
40,148,1342,3.17
41,149,1380,3.29
42,150,1277,3.37
43,151,1541,3.51
44,152,1281,3.47
45,153,1387,3.47
46,155,1550,3.81
47,158,1174,3.17
48,159,1466,3.38
49,161,1235,3.02
50,162,1308,3.49
51,163,1393,3.51
52,164,1308,3.32
53,165,1434,3.6
54,166,1163,3.2
55,167,1269,3.28
56,168,1134,3.42
57,169,1497,3.64
58,170,1222,3.19
60,173,1287,3.28
61,174,1372,3.17
62,175,1264,3.0
63,177,1431,3.58
64,178,1355,3.29
65,179,1462,3.76
67,181,1456,3.4
68,182,1331,3.37
69,183,1332,3.52
70,184,1343,3.71
71,185,1278,3.59
72,186,1264,3.0
73,187,1255,3.17
74,188,1433,3.59
75,189,1193,2.83
76,190,1212,3.08
77,191,1350,3.38
78,192,1202,3.39
79,193,1365,3.37
80,195,1479,3.41
81,196,1324,3.4
82,197,1294,3.28
83,198,1379,3.44
